rank,Country,IQ,pop2022
1,Japan,106.48,123951.692
2,Taiwan,106.47,23893.394
3,Singapore,105.89,5975.689
4,Hong Kong,105.37,7488.865
5,China,104.1,1425887.337
6,South Korea,102.35,51815.81
7,Belarus,101.6,9534.954
8,Finland,101.2,5540.745
9,Liechtenstein,101.07,39.327
10,Germany,100.74,83369.843
11,Netherlands,100.74,17564.014
12,Estonia,100.72,1326.062
13,Luxembourg,99.87,647.599
14,Macau,99.82,695.168
15,Cambodia,99.75,16767.842
16,Canada,99.52,38454.327
17,Australia,99.24,26177.413
18,Hungary,99.24,9967.308
19,Switzerland,99.24,8740.472
20,United Kingdom,99.12,67508.936
21,Greenland,98.89,56.466
22,North Korea,98.82,26069.416
23,Slovenia,98.6,2119.844
24,New Zealand,98.57,5185.288
25,Austria,98.38,8939.617
26,Iceland,98.26,372.899
27,Denmark,97.83,5882.261
28,Belgium,97.49,11655.93
29,United States of America,97.43,338289.857
30,Norway,97.13,5434.319
31,Sweden,97,10549.347
32,France,96.69,64626.628
33,Poland,96.35,39857.145
34,Slovakia,96.32,5643.453
35,Russia,96.29,144713.314
36,Lithuania,95.89,2750.055
37,Croatia,95.75,4030.358
38,Andorra,95.2,79.824
39,Ireland,95.13,5023.109
40,Czechia,94.92,10493.986
41,Latvia,94.79,1850.651
42,Italy,94.23,59037.474
43,Vanuatu,93.92,326.74
44,New Caledonia,93.92,289.95
45,Spain,93.9,47558.63
46,Bermuda,93.48,64.184
47,Cyprus,93.39,1251.488
48,Portugal,92.77,10270.865
49,Israel,92.43,9038.309
50,Barbados,91.6,281.635
51,Malta,91.27,533.286
52,Myanmar,91.18,54179.306
53,Mongolia,91.03,3398.366
54,Bulgaria,90.99,6781.953
55,Greece,90.77,10384.971
56,Suriname,90.29,618.04
57,Ukraine,90.07,39701.739
58,Moldova,89.98,3272.996
59,Serbia,89.6,7221.365
60,Vietnam,89.53,98186.856
61,Iraq,89.28,44496.122
62,Uzbekistan,89.01,34627.652
63,Kazakhstan,88.89,19397.998
64,Thailand,88.87,71697.03
65,Armenia,88.82,2780.469
66,Bosnia and Herz.,88.54,3233.526
67,Costa Rica,88.34,5180.829
68,Bhutan,87.94,782.455
69,Chile,87.89,19603.733
70,Mexico,87.73,127504.125
71,Tajikistan,87.71,9952.787
72,Uruguay,87.59,3422.794
73,Malaysia,87.58,33938.221
74,Brunei,87.58,449.002
75,Bahamas,86.99,409.984
76,Romania,86.88,19659.267
77,Turkey,86.8,85341.241
78,Argentina,86.63,45510.318
79,Sri Lanka,86.62,21832.143
80,Mauritius,86.56,1299.469
81,Turkmenistan,85.86,6430.77
82,Montenegro,85.78,627.082
83,Trinidad and Tobago,85.63,1531.044
84,Azerbaijan,84.81,10358.074
85,Georgia,84.5,3744.385
86,Turks and Caicos Islands,84.29,45.703
87,Paraguay,84.04,6780.744
88,Fiji,83.96,929.766
89,Solomon Islands,83.96,724.273
90,Samoa,83.96,222.382
91,Kiribati,83.96,131.232
92,Micronesia,83.96,114.164
93,Tonga,83.96,106.858
94,Marshall Islands,83.96,41.569
95,Cook Islands,83.96,17.011
96,Cuba,83.9,11212.191
97,Bahrain,83.6,1472.233
98,Brazil,83.38,215313.498
99,Guyana,83.23,808.726
100,Colombia,83.13,51874.024
101,Venezuela,82.99,28301.696
102,Cayman Islands,82.24,68.706
103,Afghanistan,82.12,41128.771
104,Haiti,82.1,11584.996
105,Dominican Rep.,82.05,11228.821
106,United Arab Emirates,82.05,9441.129
107,Puerto Rico,81.99,3252.407
108,North Macedonia,81.91,2093.599
109,Albania,81.75,2842.321
110,Lebanon,81.7,5489.739
111,Philippines,81.64,115559.009
112,Peru,81.44,34049.588
113,Northern Mariana Islands,81.36,49.551
114,Laos,80.99,7529.475
115,Libya,80.92,6812.341
116,Qatar,80.78,2695.122
117,Jordan,80.7,11285.869
118,Maldives,80.54,523.787
119,Iran,80.01,88550.57
120,Pakistan,80,235824.862
121,Grenada,79.34,125.438
122,Tunisia,79.22,12356.117
123,Kyrgyzstan,79.09,6630.623
124,Panama,79,4408.581
125,Sudan,78.87,46874.204
126,Chad,78.87,17723.315
127,Seychelles,78.76,107.118
128,Oman,78.7,4576.298
129,Kuwait,78.64,4268.873
130,Indonesia,78.49,275501.339
131,Papua New Guinea,78.49,10142.619
132,Timor-Leste,78.49,1341.296
133,Ecuador,78.26,18001
134,Palestine,77.69,5250.072
135,Senegal,77.37,17316.449
136,Comoros,77.07,836.774
137,Madagascar,76.79,29611.714
138,British Virgin Islands,76.69,31.305
139,Bolivia,76.53,12224.11
140,Uganda,76.42,47249.585
141,Saudi Arabia,76.36,36408.82
142,Egypt,76.32,110990.103
143,India,76.24,1417173.173
144,Algeria,76,44903.225
145,Kenya,75.2,54027.487
146,Angola,75.1,35588.987
147,Jamaica,75.08,2827.377
148,Tanzania,74.95,65497.748
149,Syria,74.41,22125.249
150,Bangladesh,74.33,171186.372
151,Zimbabwe,74.01,16320.537
